trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 1.0}",20,7,-33.97264739458692,"{0: 7, 1: 3, 2: 3, 3: 0, 4: 0}",1
2,False,"{'a': 0.01, 'e': 0.9999500004166653}",30,0,-243.14513089015296,"{0: 13, 1: 4, 2: 9, 3: 1, 4: 3}",0
3,False,"{'a': 0.01, 'e': 0.9998000066665778}",20,0,-87.39196597666965,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
4,False,"{'a': 0.01, 'e': 0.9995500337489875}",25,14,-59.06278137004915,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 1}",1
5,False,"{'a': 0.01, 'e': 0.9992001066609779}",30,16,-72.93136885003774,"{0: 8, 1: 1, 2: 4, 3: 0, 4: 1}",1
6,False,"{'a': 0.01, 'e': 0.9987502603949663}",35,0,-134.90933832153007,"{0: 21, 1: 5, 2: 6, 3: 2, 4: 1}",0
7,False,"{'a': 0.01, 'e': 0.9982005399352042}",20,0,-97.24649729308895,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
8,False,"{'a': 0.01, 'e': 0.9975510002532796}",25,8,-85.50463472427052,"{0: 10, 1: 1, 2: 5, 3: 0, 4: 1}",1
9,False,"{'a': 0.01, 'e': 0.9968017063026194}",20,9,-39.095862085123656,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 1}",1
10,False,"{'a': 0.01, 'e': 0.9959527330119943}",20,11,-26.140893569172,"{0: 5, 1: 2, 2: 2, 3: 0, 4: 0}",1
11,False,"{'a': 0.01, 'e': 0.9950041652780258}",20,0,-124.93028597715454,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
12,False,"{'a': 0.01, 'e': 0.9939560979566968}",20,0,-160.03258131411113,"{0: 10, 1: 3, 2: 4, 3: 0, 4: 3}",0
13,False,"{'a': 0.01, 'e': 0.9928086358538663}",25,0,-131.45131996337994,"{0: 12, 1: 3, 2: 9, 3: 0, 4: 1}",0
14,False,"{'a': 0.01, 'e': 0.9915618937147881}",25,0,-83.84915946634159,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
15,False,"{'a': 0.01, 'e': 0.9902159962126371}",20,0,-48.48017108860028,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
16,False,"{'a': 0.01, 'e': 0.9887710779360422}",30,22,2.9569669794415594,"{0: 6, 1: 2, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.01, 'e': 0.9872272833756269}",25,0,-200.827154211124,"{0: 12, 1: 2, 2: 8, 3: 0, 4: 3}",0
18,False,"{'a': 0.01, 'e': 0.9855847669095608}",30,0,-127.4507015731461,"{0: 21, 1: 1, 2: 5, 3: 1, 4: 2}",0
19,False,"{'a': 0.01, 'e': 0.9838436927881214}",30,0,-308.4975112332894,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 7}",0
20,False,"{'a': 0.01, 'e': 0.9820042351172703}",25,0,-112.66228408931833,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
21,False,"{'a': 0.01, 'e': 0.9800665778412416}",25,0,-44.27822422347217,"{0: 17, 1: 3, 2: 5, 3: 0, 4: 0}",0
22,False,"{'a': 0.01, 'e': 0.9780309147241483}",25,0,-106.87898131551086,"{0: 18, 1: 2, 2: 2, 3: 1, 4: 2}",0
23,False,"{'a': 0.01, 'e': 0.9758974493306055}",30,0,-139.57720708654628,"{0: 22, 1: 1, 2: 4, 3: 0, 4: 3}",0
24,False,"{'a': 0.01, 'e': 0.9736663950053749}",25,0,-33.14266285017392,"{0: 19, 1: 1, 2: 5, 3: 0, 4: 0}",0
25,False,"{'a': 0.01, 'e': 0.9713379748520296}",20,0,-146.5403888505258,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 3}",0
26,False,"{'a': 0.01, 'e': 0.9689124217106447}",30,0,-74.6689535314533,"{0: 20, 1: 4, 2: 4, 3: 2, 4: 0}",0
27,False,"{'a': 0.01, 'e': 0.9663899781345132}",20,0,-101.95419849943478,"{0: 11, 1: 0, 2: 8, 3: 0, 4: 1}",0
28,False,"{'a': 0.01, 'e': 0.9637708963658905}",25,13,-22.64043088013642,"{0: 7, 1: 3, 2: 2, 3: 0, 4: 0}",1
29,False,"{'a': 0.01, 'e': 0.9610554383107709}",25,0,-115.00942833792891,"{0: 13, 1: 4, 2: 7, 3: 0, 4: 1}",0
30,False,"{'a': 0.01, 'e': 0.9582438755126972}",25,0,-122.53721949479463,"{0: 16, 1: 3, 2: 3, 3: 1, 4: 2}",0
31,False,"{'a': 0.01, 'e': 0.955336489125606}",20,0,-77.10905120135035,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
32,False,"{'a': 0.01, 'e': 0.9523335698857134}",20,0,-160.1921666046223,"{0: 10, 1: 2, 2: 4, 3: 2, 4: 2}",0
33,False,"{'a': 0.01, 'e': 0.9492354180824408}",20,5,-10.798281869723551,"{0: 12, 1: 1, 2: 2, 3: 0, 4: 0}",1
34,False,"{'a': 0.01, 'e': 0.946042343528387}",25,0,-110.67549900020808,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
35,False,"{'a': 0.01, 'e': 0.9427546655283462}",25,0,-34.79828130190067,"{0: 17, 1: 5, 2: 3, 3: 0, 4: 0}",0
36,False,"{'a': 0.01, 'e': 0.9393727128473789}",20,0,-79.65792647573505,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
37,False,"{'a': 0.01, 'e': 0.9358968236779348}",25,0,-84.26464698611775,"{0: 11, 1: 9, 2: 5, 3: 0, 4: 0}",0
38,False,"{'a': 0.01, 'e': 0.9323273456060345}",25,0,-32.25169133444913,"{0: 20, 1: 1, 2: 3, 3: 1, 4: 0}",0
39,False,"{'a': 0.01, 'e': 0.9286646355765102}",25,0,-56.92194860446476,"{0: 17, 1: 1, 2: 7, 3: 0, 4: 0}",0
40,False,"{'a': 0.01, 'e': 0.9249090598573131}",20,0,-110.53375972580768,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 2}",0
