trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
2,True,"{'a': 0, 'e': 0}",30,0,-169.55646995676915,"{0: 17, 1: 3, 2: 7, 3: 1, 4: 2}",0
3,True,"{'a': 0, 'e': 0}",25,19,-0.8348186665965289,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",25,0,-208.41693311067138,"{0: 12, 1: 3, 2: 5, 3: 2, 4: 3}",0
5,True,"{'a': 0, 'e': 0}",25,0,-51.312009613275194,"{0: 15, 1: 6, 2: 4, 3: 0, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",25,0,-112.2056523406608,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
7,True,"{'a': 0, 'e': 0}",25,0,-117.19668980952522,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 2}",0
8,True,"{'a': 0, 'e': 0}",25,0,-126.71302544803316,"{0: 14, 1: 2, 2: 7, 3: 1, 4: 1}",0
9,True,"{'a': 0, 'e': 0}",20,0,-101.5530618674769,"{0: 9, 1: 6, 2: 4, 3: 0, 4: 1}",0
10,True,"{'a': 0, 'e': 0}",30,7,-68.67680076257086,"{0: 17, 1: 1, 2: 4, 3: 0, 4: 1}",1
11,True,"{'a': 0, 'e': 0}",20,0,-109.23333910104719,"{0: 10, 1: 2, 2: 7, 3: 0, 4: 1}",0
12,True,"{'a': 0, 'e': 0}",20,0,-37.2035487612771,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
13,True,"{'a': 0, 'e': 0}",20,0,-186.15667092872536,"{0: 8, 1: 3, 2: 6, 3: 0, 4: 3}",0
14,True,"{'a': 0, 'e': 0}",20,0,-86.36688686021198,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
15,True,"{'a': 0, 'e': 0}",20,0,-110.72736159803456,"{0: 10, 1: 2, 2: 7, 3: 0, 4: 1}",0
16,True,"{'a': 0, 'e': 0}",20,0,-88.16177804877914,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
17,True,"{'a': 0, 'e': 0}",20,0,-67.9981529071001,"{0: 11, 1: 1, 2: 8, 3: 0, 4: 0}",0
18,True,"{'a': 0, 'e': 0}",25,0,-31.430009409287965,"{0: 18, 1: 4, 2: 3, 3: 0, 4: 0}",0
19,True,"{'a': 0, 'e': 0}",20,0,-52.285153192720124,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
20,True,"{'a': 0, 'e': 0}",25,0,-81.52636478732906,"{0: 13, 1: 5, 2: 6, 3: 1, 4: 0}",0
