trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 1.0}",20,7,-56.01863690224181,"{0: 7, 1: 5, 2: 0, 3: 0, 4: 1}",1
2,False,"{'a': 0.01, 'e': 0.9999500004166653}",20,0,-41.6660182227345,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
3,False,"{'a': 0.01, 'e': 0.9998000066665778}",25,0,-185.14835743314958,"{0: 9, 1: 5, 2: 9, 3: 0, 4: 2}",0
4,False,"{'a': 0.01, 'e': 0.9995500337489875}",20,0,-111.52746639864165,"{0: 10, 1: 2, 2: 7, 3: 0, 4: 1}",0
5,False,"{'a': 0.01, 'e': 0.9992001066609779}",35,0,-203.65924396835715,"{0: 17, 1: 9, 2: 6, 3: 0, 4: 3}",0
6,False,"{'a': 0.01, 'e': 0.9987502603949663}",30,0,-232.70241981742254,"{0: 14, 1: 5, 2: 7, 3: 0, 4: 4}",0
7,False,"{'a': 0.01, 'e': 0.9982005399352042}",25,0,-42.710251517346144,"{0: 18, 1: 1, 2: 6, 3: 0, 4: 0}",0
8,False,"{'a': 0.01, 'e': 0.9975510002532796}",20,0,-97.71536249427893,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
9,False,"{'a': 0.01, 'e': 0.9968017063026194}",30,0,-141.64507279298462,"{0: 20, 1: 1, 2: 6, 3: 1, 4: 2}",0
10,False,"{'a': 0.01, 'e': 0.9959527330119943}",30,0,-33.69775333757007,"{0: 24, 1: 0, 2: 6, 3: 0, 4: 0}",0
11,False,"{'a': 0.01, 'e': 0.9950041652780258}",25,0,-180.89155907756108,"{0: 15, 1: 2, 2: 3, 3: 2, 4: 3}",0
12,False,"{'a': 0.01, 'e': 0.9939560979566968}",25,11,-52.86031329768193,"{0: 8, 1: 1, 2: 4, 3: 1, 4: 0}",1
13,False,"{'a': 0.01, 'e': 0.9928086358538663}",20,0,-157.18413040210442,"{0: 10, 1: 3, 2: 3, 3: 2, 4: 2}",0
14,False,"{'a': 0.01, 'e': 0.9915618937147881}",20,0,-126.37446115336387,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
15,False,"{'a': 0.01, 'e': 0.9902159962126371}",20,0,-86.28068335036654,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
16,False,"{'a': 0.01, 'e': 0.9887710779360422}",30,0,-77.01136887699914,"{0: 20, 1: 1, 2: 9, 3: 0, 4: 0}",0
17,False,"{'a': 0.01, 'e': 0.9872272833756269}",20,0,-23.304839280335383,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
18,False,"{'a': 0.01, 'e': 0.9855847669095608}",20,4,-143.1453559599953,"{0: 9, 1: 1, 2: 3, 3: 0, 4: 3}",1
19,False,"{'a': 0.01, 'e': 0.9838436927881214}",25,19,-1.0322091231355137,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
20,False,"{'a': 0.01, 'e': 0.9820042351172703}",20,5,-111.29783626335644,"{0: 7, 1: 3, 2: 3, 3: 0, 4: 2}",1
1,True,"{'a': 0, 'e': 0}",20,0,-89.3504103497637,"{0: 10, 1: 2, 2: 7, 3: 1, 4: 0}",0
